
Metadata,IonizationFreqs:-0.000025 0.000025 0.000005 541.433310 THz,CoolingFreq:607.427840,RepumpFreq:461.312180,WindowStart:160.000,WindowWidth:55.000
hLoopCount	AttemptCount	Freq553	IonTrapped	NeutralCounts	ydataAvg	ydataStD	BGydataAvg	BGydataStD
20	1	541.433285	False	15.000000	14.500000	2.655184	15.500000	3.801316
20	2	541.433290	False	22.000000	14.400000	2.289105	16.400000	4.431704
20	3	541.433295	False	20.000000	14.800000	3.969887	14.300000	1.951922
20	4	541.433300	False	28.000000	14.000000	4.538722	14.500000	2.418677
20	5	541.433305	False	34.000000	12.000000	2.529822	15.300000	4.495553
20	6	541.433310	False	22.000000	15.500000	4.566180	14.500000	3.324154
20	7	541.433315	False	22.000000	18.900000	4.805206	15.100000	5.107837
20	8	541.433320	False	30.000000	14.200000	4.995998	15.200000	4.707441
20	9	541.433325	False	15.000000	15.200000	3.124100	14.500000	3.930649
20	10	541.433330	False	26.000000	13.600000	2.939388	16.000000	4.171331
20	11	541.433335	False	21.000000	14.100000	2.879236	14.100000	3.419064
21	1	541.433285	False	15.000000	14.800000	3.429286	16.100000	3.505710
21	2	541.433290	False	18.000000	13.400000	3.231099	12.900000	1.920937
21	3	541.433295	False	26.000000	13.400000	4.176123	13.700000	2.968164
21	4	541.433300	False	16.000000	13.100000	3.389690	16.300000	2.865310
21	5	541.433305	False	32.000000	14.500000	3.074085	14.300000	2.830194
21	6	541.433310	False	33.000000	15.700000	3.634556	13.700000	2.193171
21	7	541.433315	False	19.000000	12.800000	2.959730	13.700000	4.712749
21	8	541.433320	False	23.000000	14.600000	3.411744	14.100000	2.467793
21	9	541.433325	False	18.000000	16.400000	4.386342	13.700000	3.067572
21	10	541.433330	False	23.000000	12.100000	2.343075	15.400000	4.565085
21	11	541.433335	False	22.000000	15.700000	3.377869	15.400000	4.694678
22	1	541.433285	False	16.000000	13.900000	4.276681	14.900000	3.080584
22	2	541.433290	False	25.000000	13.600000	3.292416	13.300000	1.791647
22	3	541.433295	False	19.000000	15.100000	3.806573	14.400000	3.527038
22	4	541.433300	False	13.000000	12.200000	2.039608	13.700000	4.405678
22	5	541.433305	False	29.000000	12.600000	2.497999	14.400000	4.431704
22	6	541.433310	False	19.000000	14.200000	3.736308	15.900000	6.284107
22	7	541.433315	False	36.000000	15.300000	3.769615	16.100000	4.968903
22	8	541.433320	True	25.000000	164.200000	12.552291	15.600000	3.583295
22	9	541.433325	False	19.000000	15.100000	2.981610	13.400000	4.079216
22	10	541.433330	False	17.000000	15.100000	3.144837	14.400000	3.200000
22	11	541.433335	False	25.000000	14.300000	4.075537	16.000000	2.756810
23	1	541.433285	False	25.000000	16.100000	3.590265	13.900000	5.448853
23	2	541.433290	False	21.000000	14.100000	2.624881	14.800000	4.214262
23	3	541.433295	False	22.000000	12.700000	2.609598	13.200000	3.994997
23	4	541.433300	False	31.000000	14.800000	2.039608	14.000000	3.872983
23	5	541.433305	False	24.000000	15.100000	3.910243	14.400000	3.411744
23	6	541.433310	False	27.000000	12.500000	2.539685	13.400000	3.583295
23	7	541.433315	False	22.000000	14.100000	3.986226	13.400000	3.929377
23	8	541.433320	False	25.000000	15.700000	4.026164	15.300000	3.034798
23	9	541.433325	False	25.000000	15.700000	4.220190	15.700000	3.950949
23	10	541.433330	False	18.000000	15.600000	3.292416	13.800000	4.400000
23	11	541.433335	True	16.000000	157.700000	12.025390	13.700000	1.900000
24	1	541.433285	False	28.000000	14.100000	3.448188	15.500000	5.352569
